Device,Test Name,Test Status,Message(s),Test description,Test category
s1-leaf1,VerifyTemperature,skipped,VerifyTemperature test is not supported on cEOSLab,Verifies if the device temperature is within acceptable limits.,Hardware
s1-leaf1,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on cEOSLab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
s1-leaf1,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
s1-leaf1,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
s1-leaf1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
s1-leaf1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
s1-leaf1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
s1-leaf1,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
s1-leaf1,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
s1-leaf1,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on cEOSLab,Verifies there are no interface storm-control drop counters.,Interfaces
s1-leaf1,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Mar  4 13:57:19 9af91c5aabcd NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system
 Mar  4 13:59:24 9af91c5aabcd Bgp: %BGP-3-DROP_TXUPDATE: Dropped updates for peer 192.0.255.2 (VRF default AS 65001) because a local L2VPN Nexthop was not configured
 Mar  4 13:59:26 9af91c5aabcd Bgp: %BGP-3-NOTIFICATION: sent to neighbor 192.0.255.2 (VRF default AS 65001) 6/10 (Cease/BFD down <Hard Reset>) 0 bytes
 Mar  4 13:59:27 9af91c5aabcd Bgp: %BGP-3-NOTIFICATION: sent to neighbor 192.0.255.1 (VRF default AS 65001) 6/10 (Cease/BFD down <Hard Reset>) 0 bytes
 Mar  4 14:11:10 s1-leaf1 Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.255.251.1 (VRF Tenant_A_OP_Zone AS 65101) 6/3 (Cease/peer de-configured <Hard Reset>) 0 bytes
 Mar  4 14:11:10 s1-leaf1 IgmpSnooping: %FWK-3-SOCKET_CLOSE_LOCAL: Closing connection to IgmpSnooping (pid:896) at tbt://10.255.252.1:5541/+n (ConnectionManager disconnect)
 Mar  4 14:11:10 s1-leaf1 IgmpSnooping: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbt://10.255.252.1:5541/+n-in)(IgmpSnooping (pid:896))
 Mar  4 14:11:10 s1-leaf1 IgmpSnooping: %FWK-3-SOCKET_CLOSE_LOCAL: Closing connection to IgmpSnooping (pid:896) at tbt://10.255.252.1:58570/-26 (closing passive socket)
 Mar  4 14:11:16 s1-leaf1 StpTxRx: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to Mlag (pid:930) at tbl://mlagListen/+n closed by peer (EOF)
 Mar  4 14:11:16 s1-leaf1 StpTxRx: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://mlagListen/+n-in)(Mlag (pid:930))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
s1-leaf1,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
s1-leaf1,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
s1-leaf1,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
s1-leaf1,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
s1-leaf1,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
s1-leaf1,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
s1-leaf1,VerifyCoredump,success,,Verifies there are no core dump files.,System
s1-leaf1,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
s1-leaf1,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
s1-leaf1,VerifyMemoryUtilization,failure,Device has reported a high memory usage - Expected: < 75% Actual: 82.12%,Verifies whether the memory utilization is below 75%.,System
s1-leaf1,VerifyNTP,success,,Verifies if NTP is synchronised.,System
s1-leaf1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
s1-leaf1,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
s1-leaf2,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
s1-leaf2,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
s1-leaf2,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
s1-leaf2,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
s1-leaf2,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
s1-leaf2,VerifyReachability,success,,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
s1-leaf2,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on cEOSLab,Verifies the status of power supply fans and all fan trays.,Hardware
s1-leaf2,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on cEOSLab,Verifies the power supplies state and input voltage.,Hardware
s1-leaf2,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on cEOSLab,Verifies the device's system cooling status.,Hardware
s1-leaf2,VerifyTemperature,skipped,VerifyTemperature test is not supported on cEOSLab,Verifies if the device temperature is within acceptable limits.,Hardware
s1-leaf2,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on cEOSLab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
s1-leaf2,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
s1-leaf2,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
s1-leaf2,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
s1-leaf2,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
s1-leaf2,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
s1-leaf2,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
s1-leaf2,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
s1-leaf2,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on cEOSLab,Verifies there are no interface storm-control drop counters.,Interfaces
